date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-06-02,16.95,4.93,2023-06-02 15:45:00,17.99,4.59,2023-06-02 15:30:00,18.72,4.37,2023-06-02 14:30:00,97
2023-06-03,24.37,3.12,2023-06-03 16:45:00,29.61,2.39,2023-06-03 15:45:00,32.61,2.08,2023-06-03 15:00:00,97
2023-06-04,27.81,2.61,2023-06-04 12:15:00,32.57,2.08,2023-06-04 11:30:00,34.48,1.91,2023-06-04 15:45:00,97
2023-06-05,15.77,5.38,2023-06-05 18:15:00,19.67,4.11,2023-06-05 17:15:00,20.85,3.82,2023-06-05 16:15:00,97
2023-06-06,16.65,5.04,2023-06-06 17:45:00,18.94,4.31,2023-06-06 15:30:00,18.44,4.45,2023-06-06 15:45:00,97
2023-06-07,14.51,5.93,2023-06-07 16:15:00,16.4,5.13,2023-06-07 16:00:00,16.33,5.16,2023-06-07 16:00:00,97
2023-06-08,14.68,5.85,2023-06-08 17:00:00,15.98,5.29,2023-06-08 17:00:00,17.09,4.89,2023-06-08 15:15:00,97
2023-06-09,16.74,5.01,2023-06-09 15:30:00,18.02,4.58,2023-06-09 14:30:00,18.81,4.35,2023-06-09 14:30:00,97
2023-06-10,22.78,3.41,2023-06-10 11:15:00,31.5,2.19,2023-06-10 11:30:00,31.5,2.19,2023-06-10 11:00:00,97
2023-06-11,27.52,2.65,2023-06-11 12:45:00,33.75,1.98,2023-06-11 12:00:00,35.79,1.81,2023-06-11 16:15:00,97
2023-06-12,20.68,3.86,2023-06-12 17:00:00,21.81,3.61,2023-06-12 16:45:00,22.9,3.39,2023-06-12 16:15:00,97
2023-06-13,17.24,4.83,2023-06-13 17:00:00,18.9,4.32,2023-06-13 16:15:00,21.13,3.76,2023-06-13 15:15:00,97
2023-06-14,14.39,5.99,2023-06-14 16:00:00,17.99,4.59,2023-06-14 15:45:00,19.76,4.09,2023-06-14 15:45:00,97
2023-06-15,14.97,5.72,2023-06-15 17:15:00,16.63,5.05,2023-06-15 16:30:00,17.52,4.74,2023-06-15 16:30:00,97
2023-06-16,14.72,5.83,2023-06-16 16:30:00,17.01,4.91,2023-06-16 16:30:00,18.75,4.36,2023-06-16 15:30:00,97
2023-06-17,23.78,3.23,2023-06-17 13:30:00,26.7,2.76,2023-06-17 13:15:00,29.1,2.45,2023-06-17 12:45:00,97
2023-06-18,23.36,3.3,2023-06-18 10:15:00,28.5,2.53,2023-06-18 10:15:00,30.2,2.33,2023-06-18 10:15:00,97
2023-06-19,15.9,5.33,2023-06-19 16:45:00,18.48,4.44,2023-06-19 16:45:00,20.75,3.85,2023-06-19 16:45:00,97
2023-06-20,17.83,4.64,2023-06-20 16:45:00,20.11,4.0,2023-06-20 16:45:00,20.85,3.82,2023-06-20 14:00:00,97
2023-06-21,17.58,4.72,2023-06-21 17:00:00,19.55,4.14,2023-06-21 16:00:00,19.88,4.06,2023-06-21 15:00:00,97
2023-06-22,16.74,5.01,2023-06-22 16:15:00,18.83,4.34,2023-06-22 16:15:00,19.59,4.13,2023-06-22 15:45:00,97
